City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,margate,51.3813,1.3862,292.42,83,0,6.59,GB,1723415611
83,east london,-33.0153,27.9116,289.28,58,100,8.61,ZA,1723415688
84,ushuaia,-54.8,-68.3,274.96,87,20,1.03,AR,1723415674
85,suncho corral,-27.9336,-63.4294,288.42,21,0,4.27,AR,1723415690
86,likasi,-10.9814,26.7333,289.9,33,0,1.84,CD,1723415691
87,college,64.8569,-147.8028,289.14,51,75,2.57,US,1723415693
88,nova vicosa,-17.8919,-39.3719,295.4,83,100,2.67,BR,1723415694
89,utrik,11.2278,169.8474,301.37,79,73,6.72,MH,1723415695
90,lebu,-37.6167,-73.65,282.41,90,44,5.89,CL,1723415696
91,jamestown,42.097,-79.2353,291.95,77,0,4.63,US,1723415589
92,bandon,51.7469,-8.7425,289.92,99,93,4.63,IE,1723415698
93,seydi,39.4816,62.9137,302.45,21,2,3.65,TM,1723415699
94,betio village,1.358,172.9211,301.9,72,17,4.08,KI,1723415700
95,ban karon,7.8477,98.2985,302.47,82,97,9.91,TH,1723415702
96,weno,7.4515,151.8468,303.12,84,75,2.06,FM,1723415703
97,papatowai,-46.5619,169.4708,280.24,76,89,8.75,NZ,1723415704
98,rikaze,29.25,88.8833,286.47,65,100,0.94,CN,1723415705
99,hotan,37.0997,79.9269,298.58,31,27,0.9,CN,1723415706
100,vila franca do campo,37.7167,-25.4333,291.42,64,8,4.28,PT,1723415707
101,port mathurin,-19.6833,63.4167,295.59,69,93,10.86,MU,1723415708
102,caluula,11.9661,50.7569,304.39,58,80,1.3,SO,1723415710
103,xining,36.6167,101.7667,284.25,76,1,1.62,CN,1723415422
104,georgetown,5.4112,100.3354,299.12,80,20,5.66,MY,1723415504
105,kimbe,-5.5502,150.1429,302.03,68,39,1.07,PG,1723415714
106,panaba,21.2833,-88.2667,304.16,62,76,6.59,MX,1723415716
107,new norfolk,-42.7826,147.0587,281.8,72,67,1.33,AU,1723415717
108,port elizabeth,-33.918,25.5701,287.31,86,75,9.77,ZA,1723415713
109,kalifornsky,60.4183,-151.29,288.3,82,75,8.23,US,1723415720
110,hami,42.8,93.45,303.08,27,100,7.94,CN,1723415721
111,bethanie,-26.4833,17.15,284.45,52,0,1.29,NA,1723415723
112,luganville,-15.5333,167.1667,299.11,74,100,6.29,VU,1723415724
113,road town,18.4167,-64.6167,303.17,74,75,3.09,VG,1723415725
114,turpan,42.9333,89.1667,303.98,32,35,1.94,CN,1723415727
115,shira,54.4911,89.9531,286.01,86,100,1.09,RU,1723415728
116,eydhafushi,5.1033,73.0708,299.17,88,100,9.91,MV,1723415729
117,kuanda,56.3161,116.0806,295.19,59,41,0.85,RU,1723415611
118,tikhvin,59.6451,33.5294,283.68,95,69,1.12,RU,1723415731
119,iqaluit,63.7506,-68.5145,281.0,71,20,7.2,CA,1723415732
120,sao jose da coroa grande,-8.8978,-35.1478,297.83,79,17,3.94,BR,1723415733
121,stanley,54.868,-1.6985,287.89,73,0,1.54,GB,1723415621
122,uturoa,-16.7333,-151.4333,298.3,81,58,5.95,PF,1723415737
123,polyarnyy,69.1989,33.4478,284.66,76,13,2.19,RU,1723415738
124,port douglas,-16.4833,145.4667,294.47,82,98,2.0,AU,1723415740
125,newman,37.3138,-121.0208,313.82,11,67,4.03,US,1723415741
126,walvis bay,-22.9575,14.5053,287.02,83,1,6.59,NA,1723415742
127,palikir - national government center,6.9248,158.1611,304.56,70,20,2.06,FM,1723415743
128,badger,64.8,-147.5333,289.1,51,75,2.57,US,1723415745
129,merizo village,13.2658,144.6691,302.25,87,99,3.03,GU,1723415746
130,kapa'a,22.0752,-159.319,301.75,67,20,7.2,US,1723415548
131,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,100,100,3.0,RU,1723415748
132,qaqortoq,60.7167,-46.0333,279.66,91,100,2.22,GL,1723415749
133,tiksi,71.6872,128.8694,273.38,72,92,4.49,RU,1723415751
134,camp swift,30.1908,-97.2922,308.81,53,2,1.34,US,1723415752
135,saimbeyli,37.9863,36.0906,284.77,67,0,4.94,TR,1723415753
136,ghanzi,-21.5667,21.7833,289.69,12,1,3.41,BW,1723415755
137,olinda,-8.0089,-34.8553,300.0,74,40,2.57,BR,1723415756
138,veraval,20.9,70.3667,299.97,86,100,7.5,IN,1723415757
139,kuala terengganu,5.3302,103.1408,297.12,94,20,1.54,MY,1723415758
140,talnakh,69.4865,88.3972,287.52,59,86,1.24,RU,1723415593
141,port moresby,-9.4431,147.1797,298.83,89,75,2.06,PG,1723415761
142,raduzhny,62.0961,77.475,283.72,94,97,3.67,RU,1723415762
143,meadow lakes,61.6247,-149.6011,286.09,91,100,1.34,US,1723415763
144,masterton,-40.9597,175.6575,286.27,64,63,5.03,NZ,1723415764
145,el granada,37.5027,-122.4694,294.29,85,75,6.69,US,1723415765
146,tangalle,6.024,80.7911,298.96,88,95,4.75,LK,1723415767
147,sao joao do piaui,-8.3581,-42.2467,304.42,28,42,1.39,BR,1723415768
148,west bay,19.3667,-81.4167,305.4,70,20,4.63,KY,1723415769
149,huilong,31.8111,121.655,302.18,86,78,2.46,CN,1723415770
150,flying fish cove,-10.4217,105.6791,296.97,73,40,5.66,CX,1723415771
151,hammerfest,70.6634,23.6821,291.4,59,74,1.03,NO,1723415772
152,salalah,17.0151,54.0924,298.2,94,100,3.09,OM,1723415773
153,jawhar,2.7809,45.5005,296.28,87,51,5.86,SO,1723415775
154,langzhong,31.5504,105.9938,297.53,89,0,0.96,CN,1723415776
155,chulakkurgan,43.765,69.1814,297.06,35,0,1.6,KZ,1723415777
156,morehead,37.2711,-87.1764,300.85,51,0,3.09,US,1723415778
157,'ain el turk,35.7438,-0.7693,299.53,89,40,2.06,DZ,1723415780
158,howard springs,-12.497,131.047,294.19,97,7,3.97,AU,1723415781
159,lospalos,-8.5186,127.0025,294.79,78,59,3.06,TL,1723415782
160,nemuro,43.3236,145.575,290.29,100,100,2.87,JP,1723415783
161,constantia,44.1833,28.65,296.38,64,0,2.74,RO,1723415784
162,namibe,-15.1961,12.1522,290.91,89,72,1.09,AO,1723415589
163,puerto ayora,-0.7393,-90.3518,294.01,89,57,3.58,EC,1723415787
164,kasimov,54.9411,41.3953,284.21,97,41,3.15,RU,1723415788
165,karratha,-20.7377,116.8463,293.47,56,2,1.39,AU,1723415789
166,hadibu,12.65,54.0333,298.99,80,58,8.24,YE,1723415790
167,taber,49.8167,-112.1518,302.15,23,35,2.06,CA,1723415791
168,kasongo-lunda,-6.4667,16.8167,296.09,31,4,1.17,CD,1723415792
169,uzhur,55.3036,89.8339,285.47,86,99,1.56,RU,1723415793
170,puerto santa,-8.9906,-78.6456,290.57,79,51,5.19,PE,1723415794
171,whitehorse,60.7161,-135.0538,288.6,54,75,10.29,CA,1723415795
172,val-d'or,48.1002,-77.7828,292.2,63,75,3.09,CA,1723415797
173,beau vallon,-20.4189,57.6953,295.28,73,20,6.17,MU,1723415798
174,sokolka,53.4072,23.5023,285.19,89,0,3.7,PL,1723415799
175,camabatela,-8.1881,15.375,289.89,77,2,2.01,AO,1723415800
176,port alfred,-33.5906,26.891,286.03,82,84,1.79,ZA,1723415801
177,asau,46.4333,26.4,291.95,70,0,2.37,RO,1723415802
178,tafuna,-14.3358,-170.72,298.12,88,100,5.66,AS,1723415803
179,saint-pierre,-21.3393,55.4781,293.97,68,75,2.06,RE,1723415804
180,kapuskasing,49.4169,-82.4331,293.2,68,75,2.06,CA,1723415806
181,indramayu,-6.3264,108.32,296.3,68,91,4.38,ID,1723415807
182,vadso,70.0744,29.7487,285.24,94,40,6.69,NO,1723415808
183,afaahiti,-17.75,-149.2833,296.54,86,55,4.92,PF,1723415809
184,saldanha,-33.0117,17.9442,285.29,81,70,0.39,ZA,1723415770
185,kirakira,-10.4544,161.9205,299.1,83,100,7.02,SB,1723415811
186,remire-montjoly,4.9167,-52.2667,301.17,78,0,2.57,GF,1723415812
187,bredasdorp,-34.5322,20.0403,283.61,85,98,2.08,ZA,1723415813
188,tara,56.8944,74.371,283.68,84,95,1.7,RU,1723415815
189,turkmenbasy,40.0222,52.9552,303.58,35,0,8.23,TM,1723415816
190,klyuchi,52.2667,79.1667,285.16,67,45,1.06,RU,1723415817
191,ribeira grande,38.5167,-28.7,294.14,73,51,2.68,PT,1723415818
192,canutama,-6.5339,-64.3831,301.55,41,78,0.17,BR,1723415819
193,hithadhoo,-0.6,73.0833,300.93,75,62,8.64,MV,1723415820
194,touros,-5.1989,-35.4608,299.67,63,78,6.27,BR,1723415821
195,eraan,9.0629,117.7016,298.99,85,84,1.75,PH,1723415822
196,tazovsky,67.4667,78.7,283.2,96,100,5.0,RU,1723415824
197,padang,-0.9492,100.3543,297.33,88,7,1.7,ID,1723415826
198,kayangel,8.0823,134.7173,301.45,72,95,1.69,PW,1723415827
199,dahanu,19.9667,72.7333,300.17,86,98,4.62,IN,1723415828
200,zhob,31.3411,69.4481,300.06,60,86,0.3,PK,1723415829
201,carnarvon,-24.8667,113.6333,292.51,80,100,5.23,AU,1723415830
202,fort st. john,56.2499,-120.8529,303.09,26,20,3.6,CA,1723415831
203,tauranga,-37.6861,176.1667,287.01,81,73,2.24,NZ,1723415833
204,tambopata,-12.7333,-69.1833,300.09,57,0,1.03,PE,1723415834
205,firuzabad,28.8438,52.5707,301.93,34,46,1.57,IR,1723415835
206,dudinka,69.4058,86.1778,285.75,60,96,6.78,RU,1723415836
207,huarmey,-10.0681,-78.1522,291.2,78,65,4.61,PE,1723415839
208,carutapera,-1.195,-46.02,299.57,76,10,4.77,BR,1723415840
209,alice springs,-23.7,133.8833,278.9,81,0,2.06,AU,1723415841
210,elliot lake,46.3834,-82.6331,289.14,66,100,2.79,CA,1723415842
211,kruisfontein,-34.0033,24.7314,284.66,80,66,7.49,ZA,1723415843
212,kidal,18.4411,1.4078,303.43,45,100,5.57,ML,1723415844
213,lompoc,34.6391,-120.4579,292.55,68,0,6.69,US,1723415846
